   2262 Berry St & N 8 St
   2260 W 76 St & Columbus Ave
   2148 Fulton St & Washington Ave
   2098 Riverside Dr & W 82 St
   2030 Pitt St & Stanton St
   2008 Hicks St & Montague St
   1978 W 74 St & Columbus Ave
   1974 DeKalb Ave & Vanderbilt Ave
   1974 46 Ave & 5 St
   1966 Driggs Ave & N Henry St
   1934 Macon St & Nostrand Ave
   1924 Broadway & Berry St
   1914 Atlantic Ave & Fort Greene Pl
   1898 E 71 St & 2 Ave
   1894 Avenue D & E 8 St
   1840 Johnson St & Gold St
   1838 Nassau Ave & Russell St
   1834 St James Pl & Pearl St
   1818 Cherry St
   1792 S 3 St & Bedford Ave
   1790 Metropolitan Ave & Meeker Ave
   1786 Queens Plaza North & Crescent St
   1780 Clinton St & Joralemon St
   1776 Jay St & Tech Pl
   1738 Meserole Ave & Manhattan Ave
   1730 Kent Ave & S 11 St
   1722 E 60 St & York Ave
   1704 Riverside Dr & W 72 St
   1698 Grand St & Havemeyer St
   1686 Willoughby Ave & Hall St
   1680 Old Fulton St
   1676 E 58 St & 1 Ave
   1672 Laight St & Hudson St
   1650 E 81 St & 3 Ave
   1624 Bond St & Schermerhorn St
   1602 W 82 St & Central Park West
   1600 Fulton St & Rockwell Pl
   1582 Greenpoint Ave & Manhattan Ave
   1580 Pike St & Monroe St
   1556 Lafayette Ave & Fort Greene Pl
   1556 Cumberland St & Lafayette Ave
   1546 Pearl St & Anchorage Pl
   1526 Washington Ave & Park Ave
   1474 E 80 St & 2 Ave
   1472 Broadway & Roebling St
   1462 Duffield St & Willoughby St
   1444 Emerson Pl & Myrtle Ave
   1442 India St & Manhattan Ave
   1438 Washington Park
   1430 DeKalb Ave & S Portland Ave
   1400 N Henry St & Richardson St
   1364 Riverside Dr & W 78 St
   1292 Lafayette Ave & St James Pl
   1264 Monroe St & Bedford Ave
   1264 Lexington Ave & Classon Ave
   1264 Banker St & Meserole Ave
   1254 Schermerhorn St & Court St
   1250 45 Rd & 11 St
   1248 S Portland Ave & Hanson Pl
   1226 Myrtle Ave & Lewis Ave
   1206 Stagg St & Union Ave
   1196 E 77 St & Park Ave
   1176 Avenue D & E 12 St
   1172 Hope St & Union Ave
   1168 Norman Ave & Leonard St
   1166 Montrose Ave & Bushwick Ave
   1162 Clermont Ave & Park Ave
   1154 McGuinness Blvd & Eagle St
   1154 Lafayette Ave & Classon Ave
   1152 Fulton St & Clermont Ave
   1152 Carlton Ave & Flushing Ave
   1138 N 12 St & Bedford Ave
   1136 Clinton St & Tillary St
   1110 Lefferts Pl & Franklin Ave
   1104 Union Ave & N 12 St
   1096 Concord St & Bridge St
   1090 Cadman Plaza E & Red Cross Pl
   1064 Clermont Ave & Lafayette Ave
   1060 Atlantic Ave & Furman St
   1048 N 11 St & Wythe Ave
   1046 East End Ave & E 86 St
   1024 Carlton Ave & Park Ave
   1020 E 81 St & Park Ave
   1018 Washington Ave & Greene Ave
   1018 Front St & Gold St
   1012 Roebling St & N 4 St
   1012 Leonard St & Grand St
    962 Franklin St & Dupont St
    948 3 Ave & Schermerhorn St
    934 Driggs Ave & Lorimer St
    904 Cadman Plaza E & Tillary St
    898 44 Dr & Jackson Ave
    874 Bushwick Ave & Powers St
    868 Henry St & Poplar St
    862 Leonard St & Bayard St
    862 Fulton St & Grand Ave
    862 Clinton Ave & Flushing Ave
    846 Halsey St & Tompkins Ave
    842 Huron St & Franklin St
    840 Union Ave & Jackson St
    840 Lewis Ave & Madison St
    834 Bond St & Fulton St
    800 Graham Ave & Grand St
    758 Boerum St & Broadway
    748 Nassau St & Navy St
    746 Devoe St & Leonard St
    744 Willoughby Ave & Walworth St
    730 Kosciuszko St & Tompkins Ave
    730 Broadway & Whipple St
    710 Cadman Plaza W & Pierrepont St
    684 S 4 St & Rodney St
    682 Fulton St & Utica Ave
    674 Myrtle Ave & St Edwards St
    660 DeKalb Ave & Skillman St
    646 Columbia Heights & Cranberry St
    626 Humboldt St & Varet St
    614 Greene Ave & Throop Ave
    606 Leonard St & Manhattan Ave
    598 Myrtle Ave & Marcy Ave
    582 Willoughby Ave & Tompkins Ave
    578 Division Ave & Hooper St
    538 Graham Ave & Withers St
    536 Scholes St & Manhattan Ave
    536 Sands St & Navy St
    536 48 Ave & 5 St
    534 Lewis Ave & Kosciuszko St
    534 Cambridge Pl & Gates Ave
    522 Tompkins Ave & Hopkins St
    518 Leonard St & Boerum St
    504 Hancock St & Bedford Ave
    500 Jackson Ave & 46 Rd
    496 Monroe St & Classon Ave
    492 Lorimer St & Broadway
    490 Greene Ave & Nostrand Ave
    486 Kosciuszko St & Nostrand Ave
    486 Graham Ave & Herbert St
    474 Franklin Ave & Myrtle Ave
    470 Putnam Ave & Throop Ave
    466 N 15 St & Wythe Ave
    460 Leonard St & Meeker Ave
    434 Bedford Ave & S 9 St
    418 Frost St & Meeker St
    392 Marcus Garvey Blvd & Macon St
    382 47 Ave & 31 St
    378 Park Ave & St Edwards St
    372 University Pl & E 8 St
    364 India St & East River
    358 Monroe St & Tompkins Ave
    356 E 40 St & Madison Ave
    350 Marcy Ave & MacDonough St
    332 McKibbin St & Manhattan Ave
    324 9 St & 44 Rd
    320 Center Blvd & Borden Ave
    312 Putnam Ave & Nostrand Ave
    308 Nostrand Ave & Myrtle Ave
    302 21 St & 43 Ave
    280 Kingston Ave & Herkimer St
    276 Park Ave & Marcus Garvey Blvd
    262 Pulaski St & Marcus Garvey Blvd
    262 Brooklyn Bridge Park - Pier 2
    260 Union Ave & Wallabout St
    252 21 St & 41 Ave
    244 Lewis Ave & Decatur St
    220 Throop Ave & Myrtle Ave
    218 Division Ave & Marcy Ave
    192 Marcy Ave & Lafayette Ave
    186 Albany Ave & Fulton St
    138 31 St & Thomson Ave
     80 Railroad Ave & Kay Ave
     42 NYCBS Depot - DEL
     40 NYCBS Depot - FAR
     26 NYCBS Depot - SSP
      8 Washington Square E
      4 Grove St PATH
      2 start station name
      2 NYCBS Depot BAL - DYR
      2 Newark Ave
      2 Essex Light Rail
      2 end station name
